,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Qin,Irrigation1.Qout,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EB.P_bal,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
0,0,-0.08162907204539817,199706.13534063663,29.832843558901057,0.06621327903706223,10238.367804533425,139.72540052516928,-0.01541579300833335,0.015415793008333333,-0.08162907204539817,0.08162907204539604,109.89269023237625,2757.546133177717,87999.99999999999,109999.99999999999,1.0,0.0,0.0,109.89237931062398,0.0,0.0,0.0816290720453961,109.89237931062398,29.832843558901057,139.72540179959367,109.89255696626822,1.0,0.0,-109999.99999999999,0.0,110000.0,0.0,-0.0816298390600168,0.0816298390600168,110000.00000000017,0.0,0.0,0.0,0.0816298390600168,-0.015415793008333333,-110000.00000000017,0.0
1,1,-0.08155723658055783,199412.5292889466,29.83235421548158,0.05796094144444661,10447.027193733433,139.8217048586462,-0.02359629513611113,0.023596295136111108,-0.08155723658055783,0.08155723658055726,109.98948367482136,2758.760280325773,87999.99999999999,109999.99999999997,1.0,0.0,0.0,109.98917453744588,0.0,0.0,0.08155723658055744,109.98917453744588,29.83235421548158,139.82170747828792,109.98935064316461,1.0,0.0,-109999.99999999997,0.0,109999.99999999999,0.0,-0.08155804620211758,0.08155804620211758,110000.00000000017,0.0,0.0,0.0,0.0815580462021257,-0.023596295136111108,-110000.00000000017,0.0
2,2,-0.08148789534067169,199119.17286572015,29.831865288109533,0.05603583536566721,10648.756201049835,139.9148105543307,-0.025452059975000062,0.025452059975,-0.08148789534067169,0.08148789534066796,110.08307807176287,2759.933791403896,88000.0,109999.99999999997,1.0,0.0,0.0,110.08277077093578,0.0,0.0,0.08148789534066732,110.08277077093578,29.831865288109533,139.91481459024155,110.08294526622113,1.0,0.0,-109999.99999999997,0.0,109999.99999999997,0.0,-0.0814887477248168,0.0814887477248168,110000.00000000017,0.0,0.0,0.0,0.0814887477248168,-0.025452059975,-110000.00000000017,0.0
3,3,-0.08143658210183216,198826.00117015355,29.831376668616926,0.04145254790739893,10797.985373516469,139.98368555700762,-0.03998403419444446,0.03998403419444444,-0.08143658210183216,0.0814365821018435,110.15244152672878,2760.80316520404,88000.0,109999.99999999997,1.0,0.0,0.0,110.15213599711319,0.0,0.0,0.08143658210184324,110.15213599711319,29.83137666861692,139.98369108139292,110.1523088883907,1.0,0.0,-109999.99999999997,0.0,109999.99999999997,0.0,-0.08143747794296323,0.08143747794296323,110000.00000000017,0.0,0.0,0.0,0.08143747794296323,-0.03998403419444444,-110000.00000000017,0.0
4,4,-0.08141002241883945,198532.92508944575,29.830888208482417,0.021334714724267737,10874.790346523838,140.0191340060879,-0.0600753076944446,0.06007530769444444,-0.08141002241883946,0.0814100224187122,110.18837834944053,2761.253468807679,88000.0,109999.99999999999,1.0,0.0,0.0,110.18807447570236,0.0,0.0,0.08141002241871217,110.18807447570236,29.83088820848241,140.01914109268662,110.18824579760552,1.0,0.0,-109999.99999999999,0.0,109999.99999999999,0.0,-0.08141096263974978,0.08141096263974978,110000.00000000017,0.0,0.0,0.0,0.08141096263974978,-0.06007530769444444,-110000.00000000017,0.0
5,5,0.0,198532.92508944575,29.83088820848241,-0.06245466294444445,10649.95355992384,139.91536318150332,-0.06245466294444462,0.06245466294444445,0.0,0.0,110.0844749730209,2759.951259213273,0.0,0.0,0.0,0.0,0.0,110.13503727258437,0.0,0.0,0.0,110.13503727258437,29.830888208482417,139.9670930770667,110.0844749730209,1.0,0.0,0.0,0.0,0.0,0.0,-0.031129468358388777,0.031129468358388777,41956.044927381765,0.0,0.0,0.0,0.031129468358388777,-0.06245466294444445,-41956.044927381765,0.0
6,6,0.0,198532.92508944575,29.83088820848241,-0.06305825783333334,10422.94383172384,139.81058946079563,-0.0630582578333334,0.06305825783333334,0.0,0.0,109.97970125231319,2758.6375443830902,0.0,0.0,0.0,0.0,0.0,110.02953561496489,0.0,0.0,0.0,110.02953561496489,29.830888208482417,139.86231935635917,109.97970125231319,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06305825783333334,0.0,0.0
7,7,0.0,198532.92508944575,29.83088820848241,-0.05495390947222222,10225.10975762384,139.71928142659564,-0.0549539094722224,0.05495390947222222,0.0,0.0,109.88839321811324,2757.492159920598,3.1494081185259324e-10,3.9367601481574155e-10,0.0,0.0,0.0,109.9423387121436,0.0,0.0,0.0,109.9423387121436,29.830888208482417,139.77505045466035,109.88839321811324,1.0,-3219.373465034922,3219.373465034528,3219.373465034528,0.0,0.0,-0.002430959375870225,0.002430959375870225,3219.3734650349256,0.0,0.0,0.0,0.002430959375870225,-0.05495390947222222,0.0,-3219.3734650349256
8,8,0.0,198532.92508944575,29.83088820848241,-0.05385924808333333,10031.216464523839,139.62979221439565,-0.05385924808333347,0.05385924808333333,0.0,0.0,109.79890400591322,2756.3691292619064,1.5003662223562608e-10,1.875457777945326e-10,0.0,0.0,0.0,109.86575547742532,0.0,0.0,0.0,109.86575547742532,29.83088820848241,139.69829854758348,109.79890400591322,1.0,-10155.15246147793,10155.152461477745,10155.152461477743,0.0,0.0,-0.007665970675894404,0.007665970675894404,10155.152461477934,0.0,0.0,0.0,0.007665970675894404,-0.05385924808333333,0.0,-10155.152461477934
9,9,0.0,198532.9250894457,29.830888208482406,-0.028020817361111113,9930.34152202384,139.58323454862642,-0.02802081736111118,0.028020817361111113,0.0,0.0,109.752346340144,2755.784640676888,0.0,0.0,0.0,0.0,0.0,109.8401490718021,0.0,0.0,0.0,109.8401490718021,29.83088820848241,139.6725074835805,109.75234634014399,1.0,-16563.114489101026,16563.114489101023,16563.114489101023,0.0,0.0,-0.012498417729668039,0.012498417729668039,16563.11448910103,0.0,0.0,0.0,0.012498417729668039,-0.028020817361111113,0.0,-16563.11448910103
10,10,-0.027799999999999995,198432.8450894457,29.83072140848241,0.010378885122222212,9967.70550846384,139.60047946544486,-0.01742111487777779,0.01742111487777778,-0.0278,0.0278,109.76977351360996,2756.003426868739,29936.19309308468,37420.24136635584,1.0,0.0,0.0,109.83911653160419,0.0,0.0,0.027799999999999995,109.83911653160419,29.83072140848241,139.67128075216027,109.76975805696243,1.0,-22118.44815118865,-15301.793215167187,0.0,15301.793215167187,0.0,-0.016682804300878415,0.016682804300878415,22118.44815118868,0.0,0.0,0.0,0.016682804300878415,-0.01742111487777778,0.0,-22118.44815118868
11,11,-0.027800000000000005,198332.7650894457,29.83055460848241,-0.005525981972222222,9947.81197336384,139.59129783386024,-0.03332598197222223,0.033325981972222224,-0.027800000000000002,0.027800000000000002,109.76075868214122,2755.890257876616,29933.734586276194,37417.16823284524,1.0,0.0,0.0,109.81644371366453,0.0,0.0,0.027800000000000002,109.81644371366453,29.83055460848241,139.64886206590253,109.76074322537781,1.0,-26316.470869421864,-11100.697363423367,0.0,11100.697363423365,0.0,-0.01983325413180793,0.01983325413180793,26316.470869421868,0.0,0.0,0.0,0.01983325413180793,-0.033325981972222224,0.0,-26316.470869421868
12,12,-0.027800000000000002,198232.68508944573,29.830387808482406,-0.004478901277777783,9931.68792876384,139.5838559671218,-0.03227890127777778,0.03227890127777778,-0.027800000000000002,0.0278,109.75348361540281,2755.7989262852197,29931.75054462542,37414.68818078177,1.0,0.0,0.0,109.79796965353584,0.0,0.0,0.0278,109.79796965353584,29.830387808482406,139.63016194982242,109.7534681586394,1.0,-27919.191260759966,-9495.496920021804,0.0,9495.496920021804,0.0,-0.02102420178513912,0.02102420178513912,27919.191260760042,0.0,0.0,0.0,0.02102420178513912,-0.03227890127777778,0.0,-27919.191260760042
13,13,-0.02779999999999999,198132.60508944571,29.830221008482415,-0.010233443305555558,9894.84753286384,139.56685270747565,-0.038033443305555574,0.03803344330555555,-0.02779999999999999,0.027799999999999995,109.73664715569937,2755.5875517364393,29927.15893900803,37408.948673760024,1.0,0.0,0.0,109.76747902271102,0.0,0.0,0.027799999999999995,109.76747902271102,29.830221008482408,139.5995303852249,109.73663169899322,1.0,-26043.58016464252,-11365.368509117507,0.0,11365.368509117507,0.0,-0.019597779427453554,0.019597779427453554,26043.580164642586,0.0,0.0,0.0,0.019597779427453554,-0.03803344330555555,0.0,-26043.580164642586
14,14,-0.027800000000000005,198032.52508944573,29.83005420848241,-0.008602877388888895,9863.877174263838,139.5525586958141,-0.03640287738888896,0.03640287738888889,-0.027800000000000002,0.0278,109.72251994413162,2755.4101800849317,29923.306194123685,37404.132742654605,1.0,0.0,0.0,109.73382422322774,0.0,0.0,0.0278,109.73382422322774,29.830054208482405,139.5658174506472,109.72250448733166,1.0,-21427.953434533298,-15976.179308121307,0.0,15976.179308121309,0.0,-0.0161126852819395,0.0161126852819395,21427.95343453331,0.0,0.0,0.0,0.0161126852819395,-0.03640287738888889,0.0,-21427.95343453331
15,15,-0.0278,197932.44508944577,29.82988740848241,-0.012235441666666668,9819.829584263838,139.53222903889102,-0.04003544166666667,0.040035441666666664,-0.027799999999999995,0.0278,109.70235708714769,2755.1570024652783,29917.807420092744,37397.259275115925,1.0,0.0,0.0,109.68480518119406,0.0,0.0,0.027800000000000002,109.68480518119406,29.829887408482406,139.51682135823367,109.70234163040861,1.0,-14035.830531140124,-23361.428743975797,0.0,23361.4287439758,0.0,-0.010547052714066751,0.010547052714066751,14035.830531140164,0.0,0.0,0.0,0.010547052714066751,-0.040035441666666664,0.0,-14035.830531140164
16,16,0.0,197932.44508944577,29.82988740848241,-0.04047709838888889,9674.112030063841,139.46497478310638,-0.0404770983888889,0.04047709838888889,0.0,0.0,109.63508737462398,2754.312135990029,0.0,0.0,0.0,0.0,0.0,109.62381257420392,0.0,0.0,0.0,109.62381257420392,29.829887408482406,139.45591776451434,109.635087374624,1.0,-5089.852263148598,5089.852263148598,5089.852263148598,0.0,0.0,-0.003822157724404567,0.003822157724404567,5089.852263148596,0.0,0.0,0.0,0.003822157724404567,-0.04047709838888889,0.0,-5089.852263148596
17,17,0.0,197932.44508944577,29.82988740848241,-0.029031827000000003,9569.597452863838,139.41673728593716,-0.02903182700000006,0.029031827000000003,0.0,0.0,109.58684987745472,2753.7061450141996,0.0,0.0,0.0,0.0,0.0,109.57554702450413,0.0,0.0,0.0,109.57554702450413,29.829887408482406,139.407680267345,109.58684987745472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029031827000000003,0.0,0.0
18,18,0.0,197932.44508944577,29.82988740848241,-0.0038377763194444438,9555.78145811384,139.41036067297566,-0.00383777631944446,0.003837776319444444,0.0,0.0,109.58047326449324,2753.626027853497,0.0,0.0,0.0,0.0,0.0,109.5692611636746,0.0,0.0,0.0,109.5692611636746,29.829887408482406,139.40130365438364,109.58047326449324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003837776319444444,0.0,0.0
19,19,0.0,197932.44508944577,29.82988740848241,-0.01105022391111111,9516.000652033837,139.3920003009387,-0.01105022391111112,0.01105022391111111,0.0,0.0,109.56211289245626,2753.3953311015607,0.0,0.0,0.0,-4.809823651424341e-19,0.0,109.55103245300394,0.0,0.0,0.0,109.55103245300394,29.829887408482406,139.3829432823465,109.56211289245627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01105022391111111,0.0,0.0
20,20,0.0,197932.44508944577,29.82988740848241,-0.01265580385,9470.439758173838,139.37097219608023,-0.012655803850000024,0.01265580385,0.0,0.0,109.5410847875978,2753.131090730614,0.0,0.0,0.0,-6.553123335992097e-19,0.0,109.5301236439344,0.0,0.0,0.0,109.5301236439344,29.829887408482406,139.36191517748804,109.5410847875978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01265580385,0.0,0.0
21,21,0.0,197932.44508944577,29.82988740848241,-0.018629667019444445,9403.372956903839,139.3400182878018,-0.018629667019444473,0.018629667019444445,0.0,0.0,109.5101308793194,2752.7420759950214,0.0,0.0,0.0,-6.938893903907228e-18,0.0,109.49928583246958,0.0,0.0,0.0,109.49928583246958,29.829887408482406,139.33096126920987,109.5101308793194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018629667019444445,0.0,0.0
22,22,0.0,197932.44508944574,29.82988740848241,-0.030171971583333335,9294.753859203838,139.28988639655563,-0.03017197158333342,0.030171971583333332,0.0,0.0,109.45999898807324,2752.111924388878,0.0,0.0,0.0,-6.061182482094561e-19,0.0,109.44925959218709,0.0,0.0,0.0,109.44925959218709,29.829887408482413,139.28082937796353,109.45999898807324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030171971583333332,0.0,0.0
23,23,-0.07643069880171599,197657.29457375954,29.829428824289597,0.05701281688782712,9500.000000000018,139.38461538461542,-0.019417881913888893,0.01941788191388889,-0.076430698801716,0.076430698801716,109.5553033916774,2753.309833098432,82142.94015308846,102678.67519136055,1.0,0.0,0.0,109.55504956771303,0.0,0.0,0.076430698801716,109.55504956771303,29.829428824289593,139.38461538461536,109.55518656032582,1.0,0.0,-102678.67519136057,0.0,102678.67519136057,0.0,-0.08188168221370228,0.08188168221370228,110000.00000000017,0.0,0.0,0.0,0.0818816822137017,-0.01941788191388889,-110000.00000000017,0.0
